id,name,short,description,price,unit,max,ustep,tag,tagClass,icon,image,active
ribs-bbq,Lėtai kepti kiaulienos šonkauliai su BBQ padažu,MĖSINGI · ~1 kg juosta,"Išskirtinio skonio ir aromato. Marinuoti unikaliu savos gamybos prieskonių mišiniu, glazūruoti naminiu BBQ padažu. Rūkykloje įgavę ąžuolo dūmo aromatą, ilgai kepti žemoje temperatūroje – mėsa krenta nuo kaulo. Pilnai paruošta, tereikia pašildyti. Juostos svoris ~1 kg.",20,/kg,5,juostos,Mėsingi,hot,🍖,,TRUE
sprandine,Kiaulienos sprandinės šašlykas,1 kg pakuotė,"Sudėtis: kiaulienos sprandinė, pomidorai savo sultyse, savos gamybos prieskonių mišinys, druska, rudasis cukrus, saulėgrąžų aliejus. Pakuotė 1 kg.",12.50,/pak.,5,pak.,Šašlykas,,🥩,,TRUE
vistienos-sas,Viščiukų šlaunelių mėsos šašlykas,1 kg pakuotė,"Sudėtis: viščiukų šlaunelių mėsa be kaulo ir odos, Country Chef BBQ prieskonių mišinys, garstyčių milteliai, alyvuogių aliejus, sojų padažas, teriyaki padažas, kmynai. Pakuotė 1 kg.",12.50,/pak.,5,pak.,Šašlykas,,🍗,,TRUE
ribs-raw,Kiaulienos šonkauliai paruošti kepimui–rūkymui,MĖSINGI · ~1 kg juosta,Išskirtinio skonio ir aromato. Marinuoti unikaliu savos gamybos prieskonių mišiniu. Pridedame BBQ padažo glazūravimui ir gamybos instrukciją. Paruošta rūkymui–kepimui. Juostos svoris ~1 kg.,13,/kg,5,juostos,Mėsingi,hot,🍖,,TRUE
jautiena,Brandintos jautienos paplotėliai mėsainiams,300 g pakuotė,"Sudėtis: brandinta jautiena, jūros druska, prieskonių mišinys, garstyčios, pomidorų pasta, alyvuogių aliejus, sojų padažas, vorčesterio padažas. Pakuotėje 2 paplotėliai po 150 g.",6,/pak.,5,pak.,Brandinta,,🍔,,TRUE
duona,Naminė duona,Mūsų pačių gamybos · ~1 kg,"Naminė bemielė duona, natūralaus raugo. Sudėtis: viso grūdo kvietiniai ir ruginiai miltai, aukščiausios rūšies kvietiniai miltai, trijų grūdų dribsniai, kviečių sėlenos, saulėgrąžų branduoliai, kmynai, cukrus, druska. Kepaliukas ~1 kg.",7,/vnt.,2,vnt.,Naminė,,🍞,,TRUE
ispjova,Parūkyta–vytinta kiaulienos išpjova,~300 g vienetas,"Sudėtis: kiaulienos išpjova, druska, prieskoniai, česnakai. Natūraliai vytinta, parūkyta sausa alksnio malka. Vnt. ~300 g (28 €/kg).",8,/vnt.,5,vnt.,Vytinta,,🥓,,TRUE
nugarine,Šalto–vidutinio rūkymo kiaulienos nugarinė,~500 g vienetas,"Sudėtis: kiaulienos nugarinė, druska, prieskoniai, česnakai. Natūraliai rūkyta sausa alksnio malka. Vnt. ~500 g (20 €/kg).",10,/vnt.,5,vnt.,Šaltai rūkyta,,🥓,,TRUE
sonine,Šalto–vidutinio rūkymo kiaulienos šoninė,~600 g vienetas,"Sudėtis: kiaulienos šoninė, druska, prieskoniai, česnakai. Natūraliai rūkyta sausa alksnio malka. Vnt. ~600 g (18 €/kg).",10,/vnt.,5,vnt.,Šaltai rūkyta,,🥓,,TRUE
sonine-pj,Šalto–vidutinio rūkymo kiaulienos šoninė (pjaustyta),200 g pakuotė,"Sudėtis: kiaulienos šoninė, druska, prieskoniai, česnakai. Natūraliai rūkyta sausa alksnio malka. Pakuotė 200 g.",5,/pak.,5,pak.,Pjaustyta,,🥓,,TRUE
vist-file,Karštai rūkyta viščiukų broilerių filė,~300 g vienetas,"Sudėtis: viščiukų broilerių filė, druska, prieskoniai. Natūraliai rūkyta sausa vaismedžių malka (vyšnia, obelis, trešnė). Vnt. ~300 g (16 €/kg).",5,/vnt.,10,vnt.,Karštai rūkyta,hot,🍗,,TRUE
vist-ketv,Karštai rūkyti vištienos ketvirčiai,~300 g vienetas,"Sudėtis: viščiukų broilerių ketvirčiai, druska, prieskoniai. Natūraliai rūkyta sausa vaismedžių malka (vyšnia, obelis, trešnė). Vnt. ~300 g (10 €/kg).",3,/vnt.,10,vnt.,Karštai rūkyta,hot,🍗,,TRUE
plesyta,Lėtai kepta plėšyta kiauliena,1 kg · BBQ padažas DOVANŲ!!!,"Ilgai ir lėtai kepta žemoje temperatūroje. Pilnai paruošta, tereikia pašildyti. Tinka burgeriams, tortilijoms, sumuštiniams, buritoms, picoms, salotoms, blyneliams, sriuboms. Pakuotė 1 kg. +BBQ padažas dovanų!",18,/pak.,5,pak.,+ BBQ dovanų!,gift,🍖,,TRUE
